File ID,Packet Tech,Band,Sidelink Band,Duration s,Energy mJ,Sidelink Energy mJ,Total Energy mJ,RSRP (pcell).1,RSRP (scell).1,File type,OperatorName,Tx Power mW,Sidelink Tx Power mW,Total Tx Power mW,Latitude,Longitude,Nearest Latitude,Nearest Longitude,Distance [km]
ftp_001_1,24.0,7.0,9.0,10.684000015258789,364.482304667526,373.2846792946913,737.7669839622173,-80.74000645969106,-80.74000645969106,ftp,ORANGE,34.1147794970962,34.93866330602486,69.05344280312106,48.820137,2.338716,48.82111111111111,2.343611111111111,0.37640074427371967
ftp_002_1,24.0,8.0,9.0,104.92500019073486,24992.703232444645,424.42139289696007,25417.124625341603,-81.85302299815731,-81.85302299815731,ftp,ORANGE,238.19588455575303,4.044997780561715,242.2408823363147,48.851814,2.336626,48.85111111111111,2.3375,0.10427870271915736
ftp_002_3,24.0,4.0,9.0,56.734999895095825,11595.558185494046,163.64232129343225,11759.20050678748,-93.26924548429832,-93.26924548429832,ftp,ORANGE,204.38103828209165,2.8843275155725787,207.26536579766426,48.851681,2.335769,48.85111111111111,2.3375,0.14398860666760782
ftp_002_3,24.0,7.0,9.0,243.53700017929077,45132.31873460476,1858.2682187424784,46964.18783498905,-85.8585216602699,-85.8585216602699,ftp,ORANGE,185.32017188919372,7.63033221799739,192.84210530808147,48.851681,2.335769,48.85333333333333,2.3355555555555556,0.18452641941523656
ftp_003_1,24.0,7.0,9.0,6.125000476837158,1218.4737701601382,58.41071125361222,1276.8844814137506,-107.43462834003353,-107.43462834003353,ftp,SFR,198.93447760012853,9.536441911229772,208.47091951135832,48.863007,2.361738,48.86138888888889,2.3647222222222224,0.2837023066508379
ftp_005_1,24.0,7.0,9.0,60.253000020980835,6914.857148859513,383.54823501917895,7298.405383878691,-93.33476134470237,-93.33476134470237,ftp,ORANGE,114.76369884406876,6.365628846457815,121.12932769052657,48.849152,2.377427,48.848055555555554,2.3761111111111113,0.15794785593550992
ftp_005_2,24.0,7.0,9.0,56.50999999046326,6913.674009848828,548.2417153503768,7461.915725199205,-94.55620345328529,-94.55620345328529,ftp,ORANGE,122.34425784844441,9.701676082868504,132.0459339313129,48.849205,2.377942,48.850833333333334,2.3786111111111112,0.18775730463217993
ftp_005_3,24.0,7.0,9.0,52.430999994277954,5631.392080455296,501.64289402186,6133.034974477156,-93.66630451583845,-93.66630451583845,ftp,ORANGE,107.40577294100584,9.567677406049983,116.9734503470558,48.84882,2.377612,48.848055555555554,2.3761111111111113,0.14177025434066273
ftp_006_1,24.0,7.0,9.0,16.70900011062622,1348.5310096060546,527.611801329303,1876.1428109353576,-85.1834304833921,-85.1834304833921,ftp,ORANGE,80.70686460456994,31.576503551146914,112.28336815571686,48.85001,2.379137,48.850833333333334,2.3786111111111112,0.09967130177194347
ftp_006_2,24.0,7.0,9.0,22.792999982833862,2180.004839037466,878.9146261742756,3058.9194652117417,-86.12183126333888,-86.12183126333888,ftp,ORANGE,95.64361166495404,38.56072596131331,134.20433762626735,48.848953,2.378407,48.850833333333334,2.3786111111111112,0.20978851280218172
ftp_006_3,24.0,7.0,9.0,36.59699988365173,2638.1789046866165,251.03436415365977,2889.2132688402767,-89.36490871474261,-89.36490871474261,ftp,ORANGE,72.0872998626622,6.859424678299914,78.94672454096214,48.84774,2.377275,48.848055555555554,2.3761111111111113,0.09641856891894195
ftp_010_1,24.0,8.0,9.0,12.249000310897827,1510.1699663306943,390.77457146483823,1900.9445377955326,-84.64529809562475,-84.64529809562475,ftp,SFR,123.2892422238825,31.902568499175363,155.19181072305787,48.847076,2.332705,48.84916666666667,2.3330555555555557,0.23543574119742192
ftp_011_1,24.0,8.0,9.0,8.205000162124634,1529.8565052591698,97.77643177359386,1627.6329370327635,-103.78892601570689,-103.78892601570689,ftp,SFR,186.4541712407502,11.916688585204763,198.37085982595497,48.84428,2.341139,48.84527777777778,2.3422222222222224,0.13845128657139688
ftp_028_1,24.0,8.0,9.0,196.1289999485016,4.076591015568348,200.5920057211664,33.67292178854432,-70.02764004209467,-70.02764004209467,ftp,ORANGE,0.020785253667936692,1.0227554608132234,0.1716876229287151,48.822735,2.356595,48.82388888888889,2.357222222222222,0.1388283671699431
ftp_028_2,24.0,5.0,9.0,198.96099996566772,214.9909923157027,512.8715635575071,292.1418133063099,-73.70238441650405,-73.70238441650405,ftp,ORANGE,1.0805685152004718,2.577749225456281,1.468337077903314,48.82473,2.355315,48.82388888888889,2.357222222222222,0.1701297630785748
ftp_028_3,24.0,5.0,9.0,195.73499989509583,9.297103855832642,232.20371659910003,46.65476313279987,-67.32014231789695,-67.32014231789695,ftp,ORANGE,0.04749842317835556,1.1863167891462927,0.2383567739944542,48.828751,2.353158,48.826388888888886,2.352777777777778,0.2662413763198436
ftp_029_1,24.0,8.0,9.0,195.88100004196167,10.692826040601089,187.07412925839958,38.711492753157785,-66.89263322574294,-66.89263322574294,ftp,ORANGE,0.05458837783302346,0.9550396884757814,0.19762760423351422,48.819759,2.340554,48.82111111111111,2.343611111111111,0.27244986236486163
ftp_029_2,24.0,5.0,9.0,197.18200016021729,0.020278147484432775,3.0996917752832203,0.4570849985778122,-45.993037568794406,-45.993037568794406,ftp,ORANGE,0.00010283974940895249,0.015719953001615827,0.0023180868345306096,48.821484,2.332992,48.82222222222222,2.3338888888888887,0.10819002336822092
ftp_029_3,24.0,5.0,9.0,146.2550003528595,63.06934606762041,965.3781115685197,275.22838971894816,-82.79951734000348,-82.79951734000348,ftp,ORANGE,0.4312286480151604,6.600650297353373,1.881839178523287,48.822674,2.328351,48.821666666666665,2.3291666666666666,0.13054692342202773
ftp_030_1,24.0,8.0,9.0,198.8090000152588,3.799809615109724,382.7537004964547,85.1944136508237,-78.2677610039483,-78.2677610039483,ftp,ORANGE,0.01911286518627469,1.9252332664370224,0.42852392821393875,48.82217,2.324788,48.821666666666665,2.3291666666666666,0.32684149713384264
ftp_030_2,24.0,5.0,9.0,199.1780002117157,1.9091557662278569,480.96502801815683,101.35278909051235,-78.11396644534882,-78.11396644534882,ftp,ORANGE,0.009585173885662698,2.4147497590442537,0.5088553403627895,48.821785,2.324838,48.82,2.325555555555556,0.20538088400986546
ftp_099_2,19.0,8.0,6.0,30.034000158309937,2385.194808650592,530.2131550550359,749.5345161824675,-inf,-inf,ftp,SFR,79.41648784970943,17.653764142647322,24.956200047667746,48.862686,2.351237,48.86055555555556,2.352222222222222,0.2506060093458503
ftp_099_2,21.0,8.0,6.0,0.5049998760223389,0.6051895819750792,0.2321075510534383,0.8372971330285176,-inf,-inf,ftp,SFR,1.1983955060383191,0.45961902581372305,1.6580145318520423,48.862686,2.351237,48.86055555555556,2.352222222222222,0.2506060093458503
ftp_105_1,24.0,6.0,9.0,94.91899991035461,17824.75587481875,683.2844021005092,18508.040276919262,-83.47660108259504,-83.47660108259504,ftp,ORANGE,187.78912432340394,7.198605155404407,194.98772947880838,48.838146,2.408711,48.83611111111111,2.412777777777778,0.37490054598734235
ftp_105_2,24.0,8.0,9.0,54.02900004386902,8207.174971356179,1206.3699237490378,9413.544895105215,-85.08837928344983,-85.08837928344983,ftp,ORANGE,151.90314395403092,22.328192688547297,174.23133664257819,48.835255,2.408157,48.83611111111111,2.412777777777778,0.35242315776582483
ftp_105_3,24.0,8.0,9.0,44.799999952316284,4318.084202241897,1638.0864105155047,5934.961771121467,-86.3212063614541,-86.3212063614541,ftp,ORANGE,96.38580818834667,36.56442884506769,132.47682538925122,48.832943,2.404535,48.83611111111111,2.4025,0.3833479418355161
ftp_106_1,24.0,8.0,9.0,6.623999834060669,363.10274344751423,6.015765455054539,369.11850890256875,-53.07084921223398,-53.07084921223398,ftp,ORANGE,54.816236797053726,0.9081771747821334,55.72441397183586,48.879051,2.400999,48.88027777777778,2.4030555555555555,0.20643681563211289
ftp_106_2,24.0,8.0,9.0,10.608000040054321,776.3364813504561,223.48330021231988,999.819781562776,-73.47263254438164,-73.47263254438164,ftp,ORANGE,73.18405716620649,21.06743018179471,94.25148734800119,48.881531,2.397234,48.88027777777778,2.3969444444444443,0.1445826096527693
ftp_106_3,24.0,8.0,9.0,31.516000032424927,4130.182910302845,1262.7492689167666,5385.213998398492,-82.00082110488849,-82.00082110488849,ftp,ORANGE,131.05035239413462,40.06692688214238,170.87238205539938,48.88353,2.396801,48.88388888888889,2.3936111111111114,0.2404753004900476
ftp_107_1,24.0,8.0,9.0,11.705999851226807,1060.4261108142116,377.9110661657628,1437.0420192144961,-79.60589611836538,-79.60589611836538,ftp,ORANGE,90.58825596201228,32.28353587636148,122.76115133077606,48.844269,2.412343,48.84222222222222,2.4119444444444444,0.23177091964753696
ftp_107_2,24.0,6.0,9.0,10.713000059127808,475.56533342495214,416.8291703555935,892.3945037805456,-91.65815234595301,-91.65815234595301,ftp,ORANGE,44.39142451229203,38.90872473210173,83.30014924439377,48.848804,2.41323,48.85,2.4125,0.14789011029316426
ftp_107_3,24.0,8.0,9.0,7.623999834060669,419.60478415875417,194.03308408035198,613.6119757180255,-71.00269517567634,-71.00269517567634,ftp,ORANGE,55.03735483887933,25.45030014474787,80.48425879768226,48.853642,2.411687,48.85,2.4125,0.41094156289766476
ftp_108_1,24.0,8.0,9.0,8.066999912261963,537.1373008216018,141.79427330221918,678.5309322403172,-67.98541813552029,-67.98541813552029,ftp,ORANGE,66.5845179947436,17.577076341192186,84.11193003844463,48.833733,2.387417,48.83166666666666,2.3858333333333333,0.25909266023257876
ftp_108_2,24.0,8.0,9.0,6.960999965667725,360.649440379157,63.162683228534945,423.80625459439574,-63.10730213139057,-63.10730213139057,ftp,ORANGE,51.81000461972595,9.073794503671737,60.882955995495784,48.83329,2.386578,48.83166666666666,2.3858333333333333,0.1909280017973726
ftp_108_3,24.0,8.0,9.0,7.096999883651733,546.519993473076,104.98750733676457,651.5075008098406,-73.21500342687,-73.21500342687,ftp,ORANGE,77.0071864777693,14.793223764679514,91.80041024244882,48.832455,2.385785,48.83166666666666,2.3858333333333333,0.09271762529384306
video_001_1,24.0,7.0,9.0,40.35599994659424,0.010252258540663741,558.0712382229494,67.54861165052039,-78.54258349069592,-78.54258349069592,video,ORANGE,0.000254045459268293,13.82870549513039,1.6738183105340452,48.820137,2.338716,48.82111111111111,2.343611111111111,0.37640074427371967
video_002_1,24.0,8.0,9.0,40.419999837875366,908.5297720292898,114.09983809552318,1010.089743339291,-87.6075920522183,-87.6075920522183,video,ORANGE,22.477233440707646,2.8228559760805956,24.9898502570698,48.851814,2.336626,48.85111111111111,2.3375,0.10427870271915736
video_002_2,24.0,7.0,9.0,18.168999910354614,57.735319504092075,84.46703356540141,141.31106943944536,-106.78528733961332,-106.78528733961332,video,ORANGE,3.177682854805255,4.648964388912963,7.777592059919126,48.852367,2.336016,48.85333333333333,2.3355555555555556,0.11282609422795241
video_002_3,24.0,7.0,9.0,37.00800013542175,1067.8578243704962,93.45823971510632,1158.3251809297653,-93.83985817062694,-93.83985817062694,video,ORANGE,28.85478330260838,2.525352339308222,31.299318436315303,48.851681,2.335769,48.85333333333333,2.3355555555555556,0.18452641941523656
video_005_1,24.0,7.0,9.0,37.07200002670288,64.61775691448989,74.87425365042107,133.72608362354669,-95.8898752591348,-95.8898752591348,video,ORANGE,1.7430340113278446,2.0196982519553655,3.607199059323049,48.849152,2.377427,48.848055555555554,2.3761111111111113,0.15794785593550992
video_005_2,24.0,7.0,9.0,36.3989999294281,75.47348282270796,96.51662683562243,167.96050906499698,-98.98859948601833,-98.98859948601833,video,ORANGE,2.073504298718072,2.651628534376024,4.614426478492426,48.849205,2.377942,48.850833333333334,2.3786111111111112,0.18775730463217993
video_005_3,24.0,7.0,9.0,34.69700002670288,94.68443505337233,101.61585710322053,191.70677846176073,-95.33201558487734,-95.33201558487734,video,ORANGE,2.7288939960372076,2.9286640638964974,5.525168697991838,48.84882,2.377612,48.848055555555554,2.3761111111111113,0.14177025434066273
video_006_1,24.0,7.0,9.0,40.318000078201294,0.7106334063065678,122.60532100456767,21.510337671597863,-81.22177462514522,-81.22177462514522,video,ORANGE,0.017625710722957846,3.040957407777193,0.5335169807499416,48.85001,2.379137,48.850833333333334,2.3786111111111112,0.09967130177194347
video_006_2,24.0,7.0,9.0,40.50500011444092,2.2091122051849004,210.79960482473882,42.123077060641144,-84.33788433781096,-84.33788433781096,video,ORANGE,0.05453924698045621,5.20428599504149,1.0399475852765976,48.848953,2.378407,48.850833333333334,2.3786111111111112,0.20978851280218172
video_006_3,24.0,7.0,9.0,33.32299995422363,26.76068481903586,78.61370408552213,100.63150524349345,-92.83762515746628,-92.83762515746628,video,ORANGE,0.8030694972180615,2.359142459968043,3.0198813246626246,48.84774,2.377275,48.848055555555554,2.3761111111111113,0.09641856891894195
video_010_1,24.0,8.0,9.0,6.766999959945679,7.495087332502075,36.38453150896134,41.02742284168936,-84.4457439011392,-84.4457439011392,video,SFR,1.1075938195457358,5.376759527755843,6.062867309669484,48.847076,2.332705,48.84916666666667,2.3330555555555557,0.23543574119742192
video_010_3,24.0,8.0,9.0,2.0830001831054688,3.367879466138043,14.093450036028802,17.461329502166844,-96.51075192863873,-96.51075192863873,video,SFR,1.6168406961525057,6.765937972706941,8.382778668859446,48.845985,2.338415,48.848333333333336,2.339722222222222,0.27904933110499086
video_011_1,24.0,8.0,9.0,2.621999979019165,34.42531571878467,3.560738365051547,37.98605408383621,-105.78802257918092,-105.78802257918092,video,SFR,13.12941113434427,1.3580237961647674,14.487434930509036,48.84428,2.341139,48.84527777777778,2.3422222222222224,0.13845128657139688
video_028_1,24.0,8.0,9.0,64.23000001907349,1.5561782331529574,119.68521749114771,18.79789949352629,-74.44323599863105,-74.44323599863105,video,ORANGE,0.024228214739075837,1.8633849829613336,0.29266541317054556,48.822735,2.356595,48.82388888888889,2.357222222222222,0.1388283671699431
video_028_2,24.0,5.0,9.0,64.20799994468689,218.32363862110216,242.8511411732224,267.9222405718692,-76.89966819373284,-76.89966819373284,video,ORANGE,3.4002560243144297,3.782256749664073,4.17272366064471,48.82473,2.355315,48.82388888888889,2.357222222222222,0.1701297630785748
